date,purchased,sold
2015-03-01,30775,2345
2015-03-02,6830,24440
2015-03-03,1244,22249
2015-03-04,12067,17344
2015-03-05,20307,9998
2015-03-06,22463,23712
2015-03-07,11323,8516
2015-03-08,6763,13325
2015-03-09,790,28009
2015-03-10,24529,17963
2015-03-11,30932,32202
2015-03-12,5462,3728
2015-03-13,22585,13865
2015-03-14,28483,24774
2015-03-15,14070,1130
2015-03-16,26836,1549
2015-03-17,5207,11614
2015-03-18,7436,17863
2015-03-19,26872,13913
2015-03-20,23669,12072
2015-03-21,14546,6973
2015-03-22,536,6723
2015-03-23,31857,9151
2015-03-24,140,5866
2015-03-25,4694,6600
2015-03-26,23362,1358
2015-03-27,28175,27523
2015-03-28,15396,7425
2015-03-29,27605,17946
2015-03-30,3125,12661
2015-04-01,14921,12939
2015-04-02,1937,28923
2015-04-03,17055,4069
2015-04-04,23707,7403
2015-04-05,20239,3466
2015-04-06,8982,19912
2015-04-07,22952,18385
2015-04-08,8493,24242
2015-04-09,7744,17434
2015-04-10,17658,22368
2015-04-11,6202,24500
2015-04-12,32548,22918
2015-04-13,3909,19381
2015-04-14,996,19578
2015-04-15,10721,16541
2015-04-16,18626,24536
2015-04-17,8189,22512
2015-04-18,6161,16584
2015-04-19,11853,170
2015-04-20,19192,9929
2015-04-21,12127,15575
2015-04-22,27757,12276
2015-04-23,1202,2482
2015-04-24,20924,27013
2015-04-25,25586,29759
2015-04-26,11767,25029
2015-04-27,28987,6599
2015-04-28,12627,28496
2015-04-29,7244,24426
2015-04-30,27305,19499
2015-05-01,18180,8868
2015-05-02,24505,4645
2015-05-03,1913,20498
2015-05-04,27844,22745
2015-05-05,20199,28642
2015-05-06,13444,32108
2015-05-07,27476,2940
2015-05-08,10198,9894
2015-05-09,4527,16036
2015-05-10,23369,16422
2015-05-11,19202,15869
2015-05-12,26405,27667
2015-05-13,5221,4514
2015-05-14,23297,27356
2015-05-15,23974,23159
2015-05-16,25558,8341
2015-05-17,16457,14026
2015-05-18,17061,6350
2015-05-19,22464,6939
2015-05-20,20332,28673
2015-05-21,4339,5400
2015-05-22,31015,3984
2015-05-23,29448,20435
2015-05-24,19965,25372
2015-05-25,6706,2764
2015-05-26,685,30547
2015-05-27,10803,22460
2015-05-28,19027,14268
2015-05-29,29590,15810
2015-05-30,17909,183
